"","x"
"1",7059.6
"2",7377
"3",7295
"4",7338.5
"5",7573.4
"6",7900.3
"7",7756.1
"8",7856.7
"9",8013.2
"10",7863.5
"11",8093.7
"12",8326.8
"13",8814.7
"14",8606.8
"15",8890.4
"16",8898.7
"17",9430
"18",9158.9
"19",9782.2
"20",10175.4
"21",10305.5
"22",10328.8
"23",10247.1
"24",10486.1
"25",11128.8
"26",11818.1
"27",11613.8
"28",11768.4
"29",12165
"30",12419
"31",12933.1
"32",13018.5
"33",13846.9
"34",14050.7
"35",14771.8
"36",14519.7
"37",15261.8
"38",15788.7
"39",17061.5
"40",17404.6
"41",17109.7
"42",17797.7
"43",17907.8
"44",19287.5
"45",19395.7
"46",20027.5
"47",20066.2
"48",20216.9
"49",20507.5
"50",21113.6
"51",21461.6
"52",22374
"53",23114
"54",24085.3
"55",25311.3
"56",25677.6
"57",26749.7
"58",26679.2
"59",27095.6
"60",27003.2
"61",27385.2
"62",28674.5
"63",29494
"64",30404.1
"65",31282.4
"66",32786.2
"67",33422.3
"68",33798.2
"69",34136.5
"70",35868.3
"71",38023.7
"72",39456.5
"73",39137.1
"74",40343.4
"75",41093.5
"76",43064.9
"77",44996.8
"78",45336.9
"79",44082.1
"80",43412.6
"81",43797.3
"82",43561
"83",44385.6
"84",43158
"85",44934
"86",46019.4
"87",47935.1
"88",48687.1
"89",49017.5
"90",50168.6
"91",51209.1
"92",52820.6
"93",55160.8
"94",56864
"95",58975.7
"96",59397.9
"97",62000.3
"98",63554.3
"99",64420.7
"100",64733.8
"101",66553.4
"102",68156.6
"103",68932
"104",71033.5
"105",72401.2
"106",75222.8
"107",78470.3
"108",79694.3
"109",82253.7
"110",86327.9
"111",87170.2
"112",88944.4
"113",95796
"114",93726.1
"115",96674.4
"116",99820.8
"117",99864
"118",101322.6
"119",103920.9
"120",108212.6
"121",109314.8
"122",111753.2
"123",115366.1
"124",117711.8
"125",122126.2
"126",124155.3
"127",126818.8
"128",129993.8
"129",132308.2
"130",133236.6
"131",133326.7
"132",135407.5
"133",138103
"134",141645.8
"135",144257.3
"136",147017.9
"137",151306.2
"138",153774.9
"139",156361.7
"140",162507.4
"141",165904.6
"142",169258.9
"143",172772.5
"144",176004.3
"145",179362.7
"146",182986.1
"147",186204.7
"148",189354.5
"149",190240.8
"150",196995.4
"151",198555.1
"152",197649.7
"153",184173.9
"154",182685.9
"155",185877.7
"156",190517.3
"157",196298.8
"158",204902.9
"159",210601.6
"160",216680.1
"161",220786.3
"162",223728.3
"163",229891.1
"164",229145.2
"165",231953.5
"166",234966.3
"167",238138.8
"168",242336.2
"169",248502.4
"170",253005.6
"171",258120.9
"172",260953.4
"173",259233.3
"174",258833.7
"175",263836.1
"176",270800
"177",274198
"178",276291.5
"179",277412.1
"180",279514.7
"181",281893.1
"182",287212.6
"183",291536.1
"184",294487.8
"185",299314.8
"186",301501.6
"187",306367.7
"188",308755.4
"189",313924.1
"190",319355.9
"191",323104.6
"192",330073.8
"193",331402
"194",333136.8
"195",335854.8
"196",324825.7
"197",325118
"198",329451.1
"199",339310.5
"200",341844.7
"201",348541.7
"202",355163.3
"203",359266.2
"204",363646.8
"205",367040.1
"206",368841.5
"207",370782.8
"208",372534
"209",375758.9
"210",377885.6
"211",379592.8
"212",381499.3
"213",384778
"214",389265.1
"215",392597.8
"216",396032.7
"217",399424.5
"218",402905.9
"219",404193
"220",406194.1
"221",409287.8
"222",411277.5
"223",417287.5
"224",420167.6
"225",421313.1
"226",426505.8
"227",428246.6
"228",430814.8
"229",435027.1
"230",438331.2
"231",444445.6
"232",443007.6
"233",448561.5
"234",451648.7
"235",454433.9
"236",457361.2
"237",457051.4
"238",462044.6
"239",463963.6
"240",469606.8
"241",463613.4
"242",449633.3
"243",460042.1
"244",466234.5
"245",474566.1
"246",478745.5
"247",479354.6
"248",486043.7
"249",489254.3
"250",492926
"251",494078.1
"252",492581.2
"253",494206.1
"254",497114.1
